Date,IssuesReported,IssuesResolved,ResolutionRate,UrgencyRate,AvgResponseTime,DayOfWeek,Month,Season,IsWeekend,IsHoliday
2025-06-22,30,25,83.33333333333334,16.666666666666664,0.36666666666666664,Sunday,6,Summer,True,False
2025-06-23,58,43,74.13793103448276,13.793103448275861,0.20689655172413793,Monday,6,Summer,False,False
2025-06-24,52,42,80.76923076923077,5.769230769230769,0.2692307692307692,Tuesday,6,Summer,False,False
2025-06-25,65,48,73.84615384615385,12.307692307692308,0.4153846153846154,Wednesday,6,Summer,False,False
2025-06-26,48,38,79.16666666666666,10.416666666666668,0.16666666666666666,Thursday,6,Summer,False,False
2025-06-27,50,37,74.0,14.000000000000002,0.12,Friday,6,Summer,False,False
2025-06-28,48,31,64.58333333333334,10.416666666666668,0.14583333333333334,Saturday,6,Summer,True,False
2025-06-29,90,58,64.44444444444444,10.0,0.17777777777777778,Sunday,6,Summer,True,False
2025-06-30,46,36,78.26086956521739,15.217391304347828,0.15217391304347827,Monday,6,Summer,False,False
2025-07-01,58,44,75.86206896551724,15.517241379310345,0.10344827586206896,Tuesday,7,Summer,False,False
2025-07-02,59,43,72.88135593220339,16.94915254237288,0.1864406779661017,Wednesday,7,Summer,False,False
2025-07-03,49,36,73.46938775510205,8.16326530612245,0.1836734693877551,Thursday,7,Summer,False,False
2025-07-04,50,37,74.0,20.0,0.3,Friday,7,Summer,False,False
2025-07-05,28,20,71.42857142857143,10.714285714285714,0.39285714285714285,Saturday,7,Summer,True,False
2025-07-06,41,35,85.36585365853658,7.317073170731707,0.07317073170731707,Sunday,7,Summer,True,False
2025-07-07,55,39,70.9090909090909,16.363636363636363,0.14545454545454545,Monday,7,Summer,False,False
2025-07-08,40,27,67.5,17.5,0.275,Tuesday,7,Summer,False,False
2025-07-09,39,31,79.48717948717949,23.076923076923077,0.1794871794871795,Wednesday,7,Summer,False,False
2025-07-10,58,40,68.96551724137932,15.517241379310345,0.15517241379310345,Thursday,7,Summer,False,False
2025-07-11,62,50,80.64516129032258,8.064516129032258,0.1935483870967742,Friday,7,Summer,False,False
2025-07-12,45,30,66.66666666666666,11.11111111111111,0.2,Saturday,7,Summer,True,False
2025-07-13,58,39,67.24137931034483,18.96551724137931,0.10344827586206896,Sunday,7,Summer,True,False
2025-07-14,50,34,68.0,18.0,0.24,Monday,7,Summer,False,False
2025-07-15,50,33,66.0,8.0,0.2,Tuesday,7,Summer,False,False
