institution,TotalIssuesAssigned,ResolutionRate,ResolvedCount,AvgDaysToResolution,MedianDaysToResolution,AvgDaysToFirstResponse,MedianDaysToFirstResponse,ServiceCenterLat,MinLat,MaxLat,GPSRecordCount,ServiceCenterLng,MinLng,MaxLng,DistrictsServedCount,DistrictsServedList,ImageResponseRate,AnonymousReportingRate,EfficiencyScore,PerformanceRanking,WorkloadCategory,ServiceAreaCoverage,ServiceAreaSpanLat,ServiceAreaSpanLng,InstitutionName
BFKH Budapest Főváros Kormányhivatala,91,0.121,11,120.364,76.0,54.989,41.0,47.501,47.41,47.588,91,19.074,19.011,19.244,20,"['VII. kerület', 'V. kerület', 'VI. kerület', 'II. kerület', 'III. kerület', 'XI. kerület', 'VIII. kerület', 'XIV. kerület', 'X. kerület', 'XIII. kerület', 'XIX. kerület', 'IV. kerület', 'IX. kerület', 'I. kerület', 'XVI. kerület', 'XX. kerület', 'XVIII. kerület', 'XII. kerület', 'XVII. kerület', 'XXIII. kerület']",0.0,0.67,6.0,175,Medium,1.0,0.178,0.233,BFKH Budapest Főváros Kormányhivatala
BFKH III. Kerületi Hivatal Hatósági Osztály,6,0.333,2,86.0,86.0,10.0,10.5,47.552,47.538,47.592,6,19.041,19.033,19.052,1,['III. kerület'],0.0,0.5,16.7,149,Low,1.0,0.054,0.019,BFKH III. Kerületi Hivatal Hatósági Osztály
BFKH XI. Kerületi Hivatal Hatósági Osztály,1,0.0,0,,,6.0,6.0,47.46,47.46,47.46,1,19.026,19.026,19.026,1,['XI. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,BFKH XI. Kerületi Hivatal Hatósági Osztály
BFKH XIII. Kerületi Hivatal Hatósági Osztály,1,0.0,0,,,43.0,43.0,47.513,47.513,47.513,1,19.048,19.048,19.048,1,['V. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,BFKH XIII. Kerületi Hivatal Hatósági Osztály
BFVK Budapest Főváros Vagyonkezelő Központ Zrt.,1,0.0,0,,,9.0,9.0,47.484,47.484,47.484,1,19.12,19.12,19.12,1,['X. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,BFVK Budapest Főváros Vagyonkezelő Központ Zrt.
BGYH Budapest Gyógyfürdői és Hévizei Zrt.,1,1.0,1,1.0,1.0,,,47.523,47.523,47.523,1,19.126,19.126,19.126,1,['XIV. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,BGYH Budapest Gyógyfürdői és Hévizei Zrt.
BKK Budapesti Közlekedési Központ,1308,0.522,683,94.463,42.0,29.273,30.0,47.498,47.38,47.604,1308,19.072,18.949,19.303,23,"['XI. kerület', 'VIII. kerület', 'XIX. kerület', 'XIV. kerület', 'II. kerület', 'XX. kerület', 'XV. kerület', 'III. kerület', 'VI. kerület', 'XII. kerület', 'X. kerület', 'XIII. kerület', 'IV. kerület', 'I. kerület', 'V. kerület', 'VII. kerület', 'XVIII. kerület', 'IX. kerület', 'XXII. kerület', 'XVII. kerület', 'XVI. kerület', 'XXI. kerület', 'XXIII. kerület']",0.0,0.466,26.1,109,Very High,1.0,0.224,0.354,BKK Budapesti Közlekedési Központ
BKM Budapesti Közművek,3378,0.693,2340,42.176,14.0,26.053,11.0,47.499,47.362,47.608,3378,19.065,18.938,19.324,23,"['XXII. kerület', 'XII. kerület', 'XI. kerület', 'V. kerület', 'XVII. kerület', 'III. kerület', 'VI. kerület', 'II. kerület', 'IX. kerület', 'XIII. kerület', 'XV. kerület', 'IV. kerület', 'XIV. kerület', 'VII. kerület', 'I. kerület', 'XX. kerület', 'XXI. kerület', 'XXIII. kerület', 'XIX. kerület', 'VIII. kerület', 'X. kerület', 'XVI. kerület', 'XVIII. kerület']",0.0,0.603,34.6,60,Very High,1.0,0.246,0.386,BKM Budapesti Közművek
BME Budapesti Műszaki és Gazdaságtudományi Egyetem,5,0.0,0,,,10.6,4.0,47.476,47.471,47.48,5,19.057,19.054,19.059,1,['XI. kerület'],0.0,0.8,,999,Low,1.0,0.009,0.005,BME Budapesti Műszaki és Gazdaságtudományi Egyetem
BMSK Zrt.,1,0.0,0,,,30.0,30.0,47.501,47.501,47.501,1,19.107,19.107,19.107,1,['XIV. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,BMSK Zrt.
