institution,TotalIssuesAssigned,ResolutionRate,ResolvedCount,AvgDaysToResolution,MedianDaysToResolution,AvgDaysToFirstResponse,MedianDaysToFirstResponse,ServiceCenterLat,MinLat,MaxLat,GPSRecordCount,ServiceCenterLng,MinLng,MaxLng,DistrictsServedCount,DistrictsServedList,ImageResponseRate,AnonymousReportingRate,EfficiencyScore,PerformanceRanking,WorkloadCategory,ServiceAreaCoverage,ServiceAreaSpanLat,ServiceAreaSpanLng,InstitutionName
OMV Hungária Kft.,9,0.667,6,84.167,46.5,22.125,15.5,47.485,47.443,47.55,9,19.109,19.054,19.15,4,"['IX. kerület', 'XI. kerület', 'X. kerület', 'XV. kerület']",0.0,0.222,33.4,68,Low,1.0,0.107,0.096,OMV Hungária Kft.
OMW,2,0.0,0,,,,,47.477,47.416,47.538,2,19.138,19.07,19.207,2,"['XIII. kerület', 'XVIII. kerület']",0.0,0.5,,999,Low,1.0,0.122,0.137,OMW
OTP Bank,3,0.667,2,279.0,279.0,24.5,24.5,47.446,47.446,47.447,3,19.125,19.036,19.169,2,"['XVIII. kerület', 'XI. kerület']",0.0,1.0,33.4,68,Low,1.0,0.001,0.133,OTP Bank
One Magyarország Zrt.,177,0.401,71,60.843,35.5,6.859,3.0,47.5,47.407,47.586,177,19.062,18.982,19.259,19,"['V. kerület', 'II. kerület', 'XIII. kerület', 'X. kerület', 'XI. kerület', 'XIV. kerület', 'XII. kerület', 'XVIII. kerület', 'IV. kerület', 'IX. kerület', 'VI. kerület', 'I. kerület', 'XX. kerület', 'VIII. kerület', 'XXI. kerület', 'VII. kerület', 'XVI. kerület', 'XVII. kerület', 'III. kerület']",0.0,0.565,20.5,136,Medium,1.0,0.179,0.277,One Magyarország Zrt.
Országgyűlés Hivatala,5,0.8,4,10.75,9.0,2.75,1.0,47.507,47.506,47.508,5,19.048,19.047,19.05,1,['V. kerület'],0.0,0.4,71.4,5,Low,1.0,0.002,0.003,Országgyűlés Hivatala
Országos Onkológiai Intézet,4,0.5,2,69.0,69.0,12.75,4.5,47.502,47.501,47.503,4,19.019,19.019,19.019,1,['XII. kerület'],0.0,1.0,25.0,112,Low,1.0,0.002,0.0,Országos Onkológiai Intézet
PVKH - Pest Vármegyei Kormányhivatal,17,0.176,3,165.667,118.0,38.588,31.0,47.464,47.392,47.53,17,19.084,18.984,19.245,10,"['XXII. kerület', 'IX. kerület', 'XXI. kerület', 'XI. kerület', 'XIV. kerület', 'II. kerület', 'I. kerület', 'XXIII. kerület', 'XVII. kerület', 'X. kerület']",0.0,0.706,8.8,169,Low,1.0,0.138,0.261,PVKH - Pest Vármegyei Kormányhivatal
"PVKH Körny.véd., Term.véd., Hull.gazd. és Bányafelügy. Főosztály",29,0.034,1,293.0,293.0,46.379,40.0,47.465,47.39,47.605,29,19.111,18.972,19.294,14,"['XXII. kerület', 'XVII. kerület', 'XXIII. kerület', 'III. kerület', 'IX. kerület', 'XVIII. kerület', 'XI. kerület', 'XIX. kerület', 'IV. kerület', 'XXI. kerület', 'XX. kerület', 'XIV. kerület', 'XVI. kerület', 'II. kerület']",0.0,0.621,1.7,181,Low,1.0,0.215,0.322,"PVKH Körny.véd., Term.véd., Hull.gazd. és Bányafelügy. Főosztály"
Packeta,1,0.0,0,,,13.0,13.0,47.453,47.453,47.453,1,19.157,19.157,19.157,1,['XIX. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Packeta
Panoráma Sportközpont,1,1.0,1,6.0,6.0,0.0,0.0,47.524,47.524,47.524,1,19.035,19.035,19.035,1,['II. kerület'],0.0,1.0,94.0,2,Low,1.0,0.0,0.0,Panoráma Sportközpont
Papp László Sportaréna,1,0.0,0,,,23.0,23.0,47.502,47.502,47.502,1,19.106,19.106,19.106,1,['XIV. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Papp László Sportaréna
Park Plazza,7,0.143,1,91.0,91.0,87.4,82.0,47.504,47.504,47.505,7,19.152,19.151,19.152,1,['X. kerület'],0.0,0.714,7.2,172,Low,1.0,0.001,0.001,Park Plazza
Parkol-6 Terézvárosi Parkolás,2,0.5,1,5.0,5.0,18.5,18.5,47.513,47.51,47.517,2,19.066,19.06,19.071,1,['VI. kerület'],0.0,0.5,50.0,16,Low,1.0,0.007,0.011,Parkol-6 Terézvárosi Parkolás
Pasaréti Honvéd Lovarda,1,0.0,0,,,5.0,5.0,47.52,47.52,47.52,1,19.0,19.0,19.0,1,['II. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Pasaréti Honvéd Lovarda
Penny Market,22,0.591,13,82.615,52.0,24.682,30.0,47.49,47.436,47.595,22,19.114,19.054,19.163,8,"['XIX. kerület', 'X. kerület', 'III. kerület', 'VIII. kerület', 'XXI. kerület', 'XX. kerület', 'IV. kerület', 'XIII. kerület']",0.0,0.318,29.6,91,Low,1.0,0.159,0.109,Penny Market
Pest Vármegyei Választási Iroda,2,0.5,1,94.0,94.0,50.0,50.0,47.486,47.464,47.508,2,19.039,19.025,19.053,2,"['XI. kerület', 'II. kerület']",0.0,0.5,25.0,112,Low,1.0,0.044,0.028,Pest Vármegyei Választási Iroda
Peugeot Pásztor,1,0.0,0,,,,,47.485,47.485,47.485,1,19.225,19.225,19.225,1,['XVII. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Peugeot Pásztor
Pilisi Parkerdő,77,0.87,67,28.03,12.0,13.219,8.0,47.52,47.419,47.59,77,19.022,18.929,19.24,11,"['II. kerület', 'XVI. kerület', 'III. kerület', 'XI. kerület', 'XXIII. kerület', 'XIX. kerület', 'XVII. kerület', 'XII. kerület', 'IX. kerület', 'XV. kerület', 'X. kerület']",0.0,0.558,45.5,30,Medium,1.0,0.171,0.311,Pilisi Parkerdő
Podmaniczky Mozgalom,1,0.0,0,,,91.0,91.0,47.513,47.513,47.513,1,19.094,19.094,19.094,1,['XIV. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Podmaniczky Mozgalom
Polisz Biztonsági Kft.,3,0.333,1,175.0,175.0,2.667,2.0,47.466,47.447,47.48,3,19.035,19.032,19.039,1,['XI. kerület'],0.0,0.0,29.0,94,Low,1.0,0.033,0.007,Polisz Biztonsági Kft.
Praktiker,2,0.0,0,,,81.0,81.0,47.542,47.542,47.542,2,19.03,19.03,19.03,1,['III. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Praktiker
Pro-Construct Zrt.,1,1.0,1,293.0,293.0,2.0,2.0,47.517,47.517,47.517,1,19.117,19.117,19.117,1,['XIV. kerület'],0.0,1.0,64.3,6,Low,1.0,0.0,0.0,Pro-Construct Zrt.
Property Market,15,0.0,0,,,8.2,3.0,47.464,47.459,47.468,15,19.061,19.057,19.064,1,['XI. kerület'],0.0,0.8,,999,Low,1.0,0.009,0.007,Property Market
Príma,14,0.714,10,118.0,36.0,20.692,15.0,47.539,47.467,47.6,14,19.095,18.999,19.191,6,"['XV. kerület', 'XVI. kerület', 'II. kerület', 'III. kerület', 'XI. kerület', 'X. kerület']",0.0,0.714,35.7,56,Low,1.0,0.133,0.192,Príma
Publimont,25,0.6,15,91.667,55.0,12.042,1.5,47.478,47.421,47.531,25,19.088,18.998,19.261,10,"['XVI. kerület', 'XI. kerület', 'VIII. kerület', 'IX. kerület', 'XVIII. kerület', 'XXII. kerület', 'XIV. kerület', 'XII. kerület', 'XVII. kerület', 'III. kerület']",0.0,0.44,30.0,88,Low,1.0,0.11,0.263,Publimont
Punctum Kft.,13,0.308,4,63.75,19.5,50.333,80.0,47.523,47.493,47.547,13,19.067,19.047,19.094,3,"['XIII. kerület', 'V. kerület', 'VIII. kerület']",0.0,0.538,15.4,155,Low,1.0,0.054,0.047,Punctum Kft.
Puskás Aréna,1,0.0,0,,,405.0,405.0,47.503,47.503,47.503,1,19.101,19.101,19.101,1,['XIV. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Puskás Aréna
Páli Szent Vince Plébánia és Templom,1,0.0,0,,,9.0,9.0,47.476,47.476,47.476,1,19.078,19.078,19.078,1,['IX. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Páli Szent Vince Plébánia és Templom
Pólus Center,2,0.5,1,9.0,9.0,4.5,4.5,47.551,47.551,47.551,2,19.139,19.139,19.139,1,['XV. kerület'],0.0,0.0,53.1,13,Low,1.0,0.0,0.0,Pólus Center
RUBIN Konferenciaközpont,1,0.0,0,,,13.0,13.0,47.473,47.473,47.473,1,19.019,19.019,19.019,1,['XI. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,RUBIN Konferenciaközpont
Robertson Hungary Kft.,1,1.0,1,71.0,71.0,12.0,12.0,47.496,47.496,47.496,1,19.024,19.024,19.024,1,['I. kerület'],0.0,1.0,50.0,16,Low,1.0,0.0,0.0,Robertson Hungary Kft.
Rossmann,3,0.333,1,8.0,8.0,27.0,27.0,47.494,47.485,47.51,3,19.214,19.191,19.226,2,"['XVII. kerület', 'XVI. kerület']",0.0,1.0,38.7,45,Low,1.0,0.025,0.035,Rossmann
Rákosmente Piacfelügyelet,1,0.0,0,,,2.0,2.0,47.481,47.481,47.481,1,19.256,19.256,19.256,1,['XVII. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Rákosmente Piacfelügyelet
Rév8 Zrt.,2,0.0,0,,,62.0,62.0,47.489,47.489,47.489,2,19.085,19.08,19.09,1,['VIII. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.01,Rév8 Zrt.
SOTE Semmelweis Orvostudományi Egyetem,1,1.0,1,1.0,1.0,1.0,1.0,47.483,47.483,47.483,1,19.08,19.08,19.08,1,['VIII. kerület'],0.0,0.0,96.1,1,Low,1.0,0.0,0.0,SOTE Semmelweis Orvostudományi Egyetem
SPAR Magyarország,50,0.6,30,104.333,36.5,15.773,2.0,47.486,47.408,47.598,50,19.132,19.016,19.244,12,"['XVII. kerület', 'XVIII. kerület', 'X. kerület', 'XIV. kerület', 'XX. kerület', 'XVI. kerület', 'VII. kerület', 'XXI. kerület', 'IV. kerület', 'XV. kerület', 'III. kerület', 'XIII. kerület']",0.0,0.68,30.0,88,Medium,1.0,0.19,0.228,SPAR Magyarország
Savoya Park,2,0.0,0,,,5.0,5.0,47.435,47.434,47.436,2,19.04,19.039,19.041,1,['XI. kerület'],0.0,0.5,,999,Low,1.0,0.002,0.002,Savoya Park
Segítő Angyalok Állatmentés Kft.,7,0.143,1,6.0,6.0,39.5,37.5,47.548,47.463,47.603,7,19.058,19.028,19.127,3,"['III. kerület', 'II. kerület', 'XIX. kerület']",0.0,0.286,31.2,79,Low,1.0,0.14,0.099,Segítő Angyalok Állatmentés Kft.
Shell Hungary Zrt.,8,0.125,1,68.0,68.0,9.875,3.5,47.487,47.433,47.517,8,19.089,18.999,19.176,6,"['I. kerület', 'II. kerület', 'XIV. kerület', 'XIX. kerület', 'XVIII. kerület', 'X. kerület']",0.0,0.625,6.2,173,Low,1.0,0.084,0.177,Shell Hungary Zrt.
Skála-Metró Ingatlanhasznosító Kft.,1,0.0,0,,,43.0,43.0,47.51,47.51,47.51,1,19.056,19.056,19.056,1,['VI. kerület'],0.0,0.0,,999,Low,1.0,0.0,0.0,Skála-Metró Ingatlanhasznosító Kft.
Stop Shop,6,0.0,0,,,47.667,40.0,47.547,47.543,47.562,6,19.042,19.028,19.106,2,"['III. kerület', 'IV. kerület']",0.0,0.5,,999,Low,1.0,0.019,0.078,Stop Shop
Szabadságszínpad,1,0.0,0,,,3.0,3.0,47.503,47.503,47.503,1,19.05,19.05,19.05,1,['V. kerület'],0.0,1.0,,999,Low,1.0,0.0,0.0,Szabadságszínpad
Sziget Kulturális Menedzser Iroda Zrt.,3,0.0,0,,,15.333,2.0,47.556,47.551,47.56,3,19.054,19.046,19.061,1,['III. kerület'],0.0,0.667,,999,Low,1.0,0.009,0.015,Sziget Kulturális Menedzser Iroda Zrt.
TIER-Dott,27,0.556,15,109.133,46.0,28.704,40.0,47.505,47.428,47.608,27,19.074,19.007,19.181,14,"['IX. kerület', 'VIII. kerület', 'XIII. kerület', 'III. kerület', 'IV. kerület', 'XVI. kerület', 'XIV. kerület', 'XVIII. kerület', 'II. kerület', 'I. kerület', 'VII. kerület', 'XII. kerület', 'XI. kerület', 'XIX. kerület']",0.0,0.63,27.8,100,Low,1.0,0.18,0.174,TIER-Dott
Tesco,39,0.308,12,175.417,115.5,14.132,1.0,47.484,47.413,47.601,39,19.115,19.022,19.238,8,"['XIV. kerület', 'XVII. kerület', 'XXI. kerület', 'XIII. kerület', 'XI. kerület', 'XX. kerület', 'IX. kerület', 'III. kerület']",0.0,0.769,15.4,155,Low,1.0,0.188,0.216,Tesco
