ClusterID,ClusterCenterLat,ClusterCenterLng,IssueCount,ResolutionRate,AvgResolutionTime,DominantCategory,PrimaryInstitution,DominantDistrict,ClusterSize,ClusterType
20,47.495,19.07,557,0.587,87.722,Forgalomtechnika,Budapest Közút,VIII. kerület,557,Major Hotspot
21,47.563,18.997,39,0.538,56.524,Parkok és zöldterületek,III. kerület ÓBKF Óbuda-Békásmegyer Közterület-felügyelet,III. kerület,39,Medium Hotspot
22,47.426,19.221,99,0.566,55.089,Forgalomtechnika,XVIII. kerület Városgazda NZrt.,XVIII. kerület,99,Major Hotspot
23,47.584,19.112,222,0.523,61.31,Parkok és zöldterületek,IV. kerület Újpest Önkormányzata,IV. kerület,222,Major Hotspot
24,47.516,19.112,647,0.631,47.664,Köztisztaság,XIV. kerület Zuglói Városgazdálkodási Közszolgáltató Zrt.,XIV. kerület,647,Major Hotspot
25,47.493,19.27,58,0.603,28.657,Közművek,XVII. kerület Rákosmente Önkormányzata,XVII. kerület,58,Major Hotspot
26,47.514,19.095,567,0.519,61.963,Közművek,XIV. kerület Zuglói Városgazdálkodási Közszolgáltató Zrt.,XIV. kerület,567,Major Hotspot
27,47.515,19.077,247,0.466,72.826,Parkok és zöldterületek,Budapest Közút,XIV. kerület,247,Major Hotspot
28,47.407,19.009,146,0.555,67.444,Elhagyott jármű,XXII. kerület Közterület-felügyeleti Csoport,XXII. kerület,146,Major Hotspot
29,47.563,18.951,153,0.451,66.783,Parkok és zöldterületek,II. kerület Önkormányzata,II. kerület,153,Major Hotspot
30,47.467,19.121,430,0.607,65.276,Köztisztaság,Budapest Közút,X. kerület,430,Major Hotspot
31,47.477,19.051,522,0.513,76.216,Közművek,XI. kerület Újbuda Önkormányzata,XI. kerület,522,Major Hotspot
32,47.487,19.116,184,0.625,59.026,Forgalomtechnika,Budapest Közút,X. kerület,184,Major Hotspot
33,47.541,19.089,274,0.58,86.465,Parkok és zöldterületek,XIII. kerület Önkormányzata,XIII. kerület,274,Major Hotspot
