InstitutionName,TotalIssuesAssigned,ResolutionRate,EfficiencyScore,PerformanceRanking,WorkloadCategory,AvgDaysToResolution,ServiceCenterLatitude,ServiceCenterLongitude,DistrictsServed,ServiceAreaCoverage,AvgUrgencyScore
V. kerület Belváros-Lipótváros Városüzemeltető,49,0.49,37.5,44,Medium,17.333,47.5,19.052,2,1.0,1.633
VI. kerület Rendészeti Osztály,4,0.25,31.0,59,Low,12.0,47.507,19.065,1,1.0,2.5
VI. kerület Terézváros Önkormányzata,43,0.209,10.8,105,Medium,39.889,47.506,19.063,3,1.0,1.86
VII. kerület - EVIN Erzsébetvárosi Ingatlangazdákodási Nonprofit Zrt.,1,0.0,0.0,132,Low,,47.5,19.064,1,1.0,0.0
VII. kerület Erzsébetváros Rendészeti Igazgatósága,16,0.438,45.6,36,Low,6.571,47.501,19.069,1,1.0,1.25
VII. kerület Erzsébetváros Önkormányzata,42,0.381,19.3,84,Medium,33.688,47.5,19.068,1,1.0,1.429
VII. kerĂźlet ErzsĂŠbetvĂĄros ĂnkormĂĄnyzata,1,0.0,0.0,132,Low,,47.498,19.07,1,1.0,0.0
VIII. Kerületi Rendőrkapitányság,1,0.0,0.0,132,Low,,47.486,19.071,1,1.0,0.0
VIII. kerület JGK Józsefvárosi Gazdálkodási Központ,103,0.272,19.9,83,High,23.857,47.49,19.079,1,1.0,0.777
VIII. kerület Józsefvárosi Közterület-felügyelet,22,0.545,35.0,47,Low,22.333,47.491,19.082,1,1.0,0.455
VIII. kerület Józsefvárosi Önkormányzat,2,0.0,0.0,132,Low,,47.491,19.086,1,1.0,0.0
Volánbusz (MÁV-csoport),2,0.0,0.0,132,Low,,47.491,19.061,2,1.0,0.0
Volأ،nbusz (MأپV-csoport),1,0.0,0.0,132,Low,,47.468,19.017,1,1.0,0.0
Várkapitányság,3,0.0,0.0,132,Low,,47.498,19.039,1,1.0,0.0
Városliget Zrt.,41,0.317,33.6,51,Medium,12.769,47.513,19.086,1,1.0,2.683
X. kerÃžlet KÅbÃĄnya ÃnkormÃĄnyzata,1,0.0,0.0,132,Low,,47.49,19.131,1,1.0,0.0
X. kerület Kőbánya Önkormányzata,116,0.526,38.7,40,High,17.934,47.479,19.152,2,1.0,1.81
X. kerület Kőbányai Közterület-felügyelet,37,0.351,24.4,70,Medium,23.385,47.48,19.144,2,1.0,1.351
XI. Kerületi Rendőrkapitányság,1,0.0,0.0,132,Low,,47.472,19.013,1,1.0,0.0
XI. kerÃžlet Ãjbuda ÃnkormÃĄnyzata,1,0.0,0.0,132,Low,,47.463,19.032,1,1.0,0.0
XI. kerület Újbuda Közterület-felügyelet,100,0.23,11.6,102,High,39.739,47.463,19.029,1,1.0,0.3
XI. kerület Újbuda Parkolásüzemeltető Nonprofit Kft.,5,0.8,65.9,11,Low,4.5,47.474,19.043,1,1.0,2.0
XI. kerület Újbuda Önkormányzata,190,0.174,12.0,100,High,27.121,47.468,19.029,1,1.0,2.316
XI. kerรผlet รjbuda Parkolรกsรผzemeltetล Nonprofit Kft.,1,1.0,50.0,22,Low,,47.478,19.044,1,1.0,0.0
XII. Kerületi Rendőrkapitányság,3,0.333,18.0,88,Low,49.0,47.501,18.989,1,1.0,6.667
XII. kerÃžlet HegyvidÃĐk ÃnkormÃĄnyzata,2,0.0,0.0,132,Low,,47.501,19.006,1,1.0,0.0
XII. kerület Hegyvidék Önkormányzata,168,0.351,20.3,80,High,27.881,47.498,19.001,2,1.0,3.393
XII. kerületi Hegyvidéki Rendészet,60,0.367,18.6,87,Medium,30.682,47.5,19.01,2,1.0,1.167
XIII. kerÃžlet ÃnkormÃĄnyzata,2,0.5,25.0,66,Low,,47.526,19.063,1,1.0,0.0
XIII. kerület Közterület-felügyelet,36,0.417,32.7,54,Medium,18.533,47.529,19.069,1,1.0,1.944
XIII. kerület Önkormányzata,197,0.396,23.2,72,High,26.923,47.532,19.071,3,1.0,1.421
XIV. Kerületi Rendőrkapitányság,1,0.0,0.0,132,Low,,47.511,19.122,1,1.0,0.0
XIV. kerÃžlet ZuglÃģ ÃnkormÃĄnyzata,1,0.0,0.0,132,Low,,47.507,19.107,1,1.0,0.0
XIV. kerÃžlet ZuglÃģi VÃĄrosgazdÃĄlkodÃĄsi KÃķzszolgÃĄltatÃģ Zrt.,4,0.0,0.0,132,Low,,47.521,19.122,1,1.0,0.0
XIV. kerÃžlet ZuglÃģi ÃnkormÃĄnyzati RendÃĐszet,1,1.0,50.0,22,Low,,47.513,19.147,1,1.0,0.0
XIV. kerület Zugló Önkormányzata,27,0.185,9.5,109,Low,75.0,47.515,19.117,1,1.0,1.481
XIV. kerület Zuglói Közbiztonsági NKft.,1,0.0,0.0,132,Low,,47.504,19.135,1,1.0,0.0
XIV. kerület Zuglói Városgazdálkodási Közszolgáltató Zrt.,386,0.365,20.3,80,High,28.482,47.516,19.12,4,1.0,2.642
XIV. kerület Zuglói Önkormányzati Rendészet,99,0.323,16.3,92,Medium,35.688,47.518,19.116,1,1.0,0.505
XIV. kerĂĽlet ZuglĂłi VĂˇrosgazdĂˇlkodĂˇsi KĂ¶zszolgĂˇltatĂł Zrt.,1,0.0,0.0,132,Low,,47.517,19.1,1,1.0,0.0
XIX. kerület Kispest Önkormányzata,2,0.0,1.0,128,Low,,47.451,19.141,1,1.0,5.0
XIX. kerület Kispesti Rendészeti Központ,28,0.393,20.0,82,Low,34.364,47.453,19.139,1,1.0,1.786
XIX. kerület Közpark NKft.,41,0.366,26.9,65,Medium,22.133,47.453,19.145,1,1.0,3.659
XV. KerÃžleti RendÅrkapitÃĄnysÃĄg,1,0.0,0.0,132,Low,,47.54,19.145,1,1.0,0.0
XV. Kerületi Rendőrkapitányság,1,0.0,0.0,132,Low,,47.542,19.135,1,1.0,0.0
XV. kerület Palota Holding Zrt.,44,0.636,48.4,30,Medium,13.893,47.55,19.129,1,1.0,2.5
XV. kerület Önkormányzati Rendészet,62,0.387,23.1,73,Medium,26.5,47.545,19.134,1,1.0,1.29
XV. kerület Újpalota Önkormányzata,8,0.125,7.5,112,Low,29.0,47.551,19.13,1,1.0,1.25
XVI. kerület Közterület-felügyeleti Csoport,14,0.357,38.7,40,Low,10.0,47.518,19.179,2,1.0,4.286
XVI. kerületi Önkormányzat,63,0.365,18.7,86,Medium,40.696,47.516,19.182,1,1.0,2.222
XVII. kerület Rákosmente Önkormányzata,74,0.378,21.6,77,Medium,27.821,47.478,19.253,1,1.0,2.432
XVIII. kerület Közterület-felügyeleti Csoport,19,0.158,8.5,111,Low,74.333,47.433,19.185,1,1.0,3.158
XVIII. kerület Pestszentlőrinc-Pestszentimre Önkormányzata,4,0.25,12.5,99,Low,74.0,47.423,19.196,1,1.0,0.0
XVIII. kerület Pestszentlőrinc-Pestszentimrei Fenntartható Fejlődés Főosztály,2,0.5,34.0,50,Low,21.0,47.4,19.183,1,1.0,0.0
XVIII. kerület Városgazda NZrt.,32,0.281,15.0,94,Medium,43.667,47.436,19.184,1,1.0,5.0
XVIII. kerรผlet Vรกrosgazda NZrt.,1,1.0,50.0,22,Low,,47.438,19.194,1,1.0,0.0
XX. kerület Pesterzsébet Önkormányzata,169,0.254,19.3,84,High,23.628,47.438,19.111,2,1.0,1.065
XX. kerület Rendvédelmi Osztály,55,0.418,21.1,78,Medium,30.565,47.435,19.111,2,1.0,0.909
XX. kerรผlet Rendvรฉdelmi Osztรกly,1,0.0,0.0,132,Low,,47.431,19.094,1,1.0,0.0
XX. és XXIII. Kerületi Rendőrkapitányság,2,0.0,0.0,132,Low,,47.434,19.123,2,1.0,0.0
XXI. kerület Csepel Városrendészeti Igazgatóság,28,0.25,17.4,89,Low,25.143,47.421,19.077,1,1.0,0.357
XXI. kerület Csepel Önkormányzata,2,1.0,59.0,13,Low,22.0,47.408,19.057,1,1.0,5.0
XXI. kerület Csepeli Városfejlesztési NKft.,2,0.5,53.0,18,Low,3.0,47.433,19.077,1,1.0,5.0
XXI. kerület Csepeli Városgazda NZrt.,61,0.328,29.2,61,Medium,17.45,47.421,19.076,1,1.0,1.148
XXII. kerÃžlet KÃķzterÃžlet-felÃžgyeleti Csoport,1,0.0,0.0,132,Low,,47.397,18.997,1,1.0,0.0
XXII. kerület Budafok-Tétény Önkormányzata,28,0.25,15.2,93,Low,27.286,47.417,19.017,1,1.0,0.0
XXII. kerület Közterület-felügyeleti Csoport,21,0.619,32.5,55,Low,28.692,47.413,19.009,1,1.0,1.429
XXIII. kerület Soroksár Rendészeti Osztály,19,0.632,31.9,57,Low,33.833,47.407,19.121,1,1.0,1.579
XXIII. kerület Soroksár Önkormányzata,11,0.273,14.6,96,Low,44.0,47.408,19.127,1,1.0,4.545
Árkád Budapest,1,0.0,2.0,120,Low,,47.503,19.137,1,1.0,10.0
Építésügyi és Közlekedési Minisztérium,1,0.0,0.0,132,Low,,47.492,19.064,1,1.0,0.0
Észak-Budapesti Tankerületi Központ,1,0.0,4.0,116,Low,,47.543,19.045,1,1.0,20.0
