InstitutionName,ServiceCenterLatitude,ServiceCenterLongitude,ServiceAreaMinLatitude,ServiceAreaMaxLatitude,ServiceAreaMinLongitude,ServiceAreaMaxLongitude,ServiceAreaKmSquared,DistrictsServed,DistrictsServedList,TotalRecords,InstitutionType,IsDistrictLevel,IsCityWide,IsUtilityCompany
III. kerĂźlet OVZRT Ăbudai VagyonkezelĹ NZrt.,47.529912,19.040313,47.529912,47.529912,19.040313,19.040313,0.0,1,Unknown,1,Other Municipal,0,0,1
III. kerĂźlet ĂBKF Ăbuda-BĂŠkĂĄsmegyer KĂśzterĂźlet-felĂźgyelet,47.559227,19.053471,47.559227,47.559227,19.053471,19.053471,0.0,1,Unknown,1,Other Municipal,0,0,0
IV. kerület Újpest Önkormányzata,47.568117,19.09537,47.554312,47.609393,19.078191,19.119711,27.67,2,"IV. kerület, XIII. kerület",102,Local Government,1,0,0
IV. kerület Újpesti Önkormányzati Rendészet,47.566063,19.094351,47.545628,47.585846,19.079552,19.114565,17.04,1,IV. kerület,23,Law Enforcement,1,0,0
IV. kerГјlet Гљjpest Г–nkormГЎnyzata,47.610679,19.107554,47.610679,47.610679,19.107554,19.107554,0.0,1,Unknown,1,Other Municipal,0,0,0
IX. kerÃžlet - FESZOFE Nonprofit Kft.,47.460056,19.083572,47.444593,47.475518,19.069376,19.097768,10.62,1,Unknown,2,Other Municipal,0,0,1
IX. kerület - FESZOFE Nonprofit Kft.,47.474189,19.081625,47.445017,47.48675,19.059701,19.119413,30.15,1,IX. kerület,26,Local Government,1,0,1
IX. kerület - FEV IX Zrt. Ferencvárosi Parkolási Igazgatóság,47.484787,19.072642,47.484787,47.484787,19.072642,19.072642,0.0,1,VIII. kerület,1,Parks & Environment,1,0,1
IX. kerület Ferencváros Önkormányzata,47.475239,19.082939,47.444386,47.489038,19.058657,19.120304,33.31,1,IX. kerület,74,Local Government,1,0,0
IX. kerület Ferencvárosi Közterület-felügyelet,47.472479,19.087832,47.462815,47.486354,19.063842,19.113841,14.24,1,IX. kerület,23,Local Government,1,0,0
IX. kerĂĽlet FerencvĂˇros Ă–nkormĂˇnyzata,47.476794,19.082235,47.476794,47.476794,19.082235,19.082235,0.0,1,Unknown,1,Other Municipal,0,0,0
Invitech,47.49297,19.065764,47.453198,47.530744,19.026993,19.115444,82.99,6,"XIII. kerület, XIV. kerület, X. kerület, XI. kerület, II. kerület",12,Other Municipal,0,0,0
JCDecaux,47.499577,19.096176,47.409259,47.602914,19.008359,19.230033,519.43,21,"XI. kerület, VI. kerület, XXII. kerület, X. kerület, VIII. kerület",89,Other Municipal,0,0,0
KDVVIZIG Közép-Duna-völgyi Vízügyi Igazgatóság,47.502225,19.073629,47.408687,47.566794,19.052454,19.101211,93.28,3,"III. kerület, IV. kerület, XXI. kerület",6,Utilities,0,0,0
KFC,47.550457,19.042723,47.550379,47.550535,19.042624,19.042821,0.0,1,III. kerület,2,Other Municipal,0,0,0
Lidl,47.521108,19.113773,47.466636,47.565306,19.014586,19.226503,253.01,5,"XVII. kerület, III. kerület, XIV. kerület, XI. kerület, IV. kerület",7,Other Municipal,0,0,0
Lime,47.482765,19.061168,47.439378,47.587835,18.968521,19.103741,242.9,9,"XX. kerület, IX. kerület, II. kerület, III. kerület, VIII. kerület",14,Other Municipal,0,0,0
MAHART PassNave Személyhajózási Zrt.,47.487568,19.056984,47.480128,47.495009,19.04836,19.065608,3.11,2,"V. kerület, IX. kerület",2,Other Municipal,0,0,1
MAHIR Cityposter,47.443953,19.0376,47.443921,47.443984,19.037095,19.038105,0.0,1,XI. kerület,2,Other Municipal,0,0,0
MKKP Magyar Kétfarkú Kutya Párt,47.511323,19.118948,47.461979,47.560666,19.089865,19.148032,69.46,2,"IV. kerület, XIX. kerület",2,Other Municipal,0,0,0
